Date,Open,High,Low,Close,Volume
2024-10-22,75.1,77.21,74.47,75.2,27824559
2024-10-23,82.66,85.14,81.35,83.72,32496936
2024-10-24,81.26,82.59,79.88000000000001,80.99,35271052
2024-10-25,78.33,79.57,76.71,78.29,48175082
2024-10-28,76.8,78.85,75.64999999999999,77.05,28532908
2024-10-29,80.06,81.24000000000001,79.37,79.92,45284660
2024-10-30,89.14,91.5,88.21,91.33,45501225
2024-10-31,79.85,82.07,78.80999999999999,81.3,49669950
2024-11-01,82.78,84.14,81.31,81.71,21667877
2024-11-04,85.55,87.55,84.19,87.11,17393979
2024-11-05,80.45,82.46000000000001,79.42,80.9,20115078
2024-11-06,89.58,90.28999999999999,87.6,90.01,38506244
2024-11-07,89.44,91.75,88.03,91.01,35214698
2024-11-08,78.78,80.29,77.92,78.93,45177004
2024-11-11,82.46,84.61,81.80999999999999,81.87,27486878
2024-11-12,79.51,80.65,78.78,79.28,32098345
2024-11-13,79.27,81.56,78.39999999999999,80.11,26620937
2024-11-14,75.55,76.83,74.81,76.09,41984287
2024-11-15,84.14,84.66,83.36,83.7,40038378
2024-11-18,82.54,84.85000000000001,81.61,82.06,49227037
2024-11-19,75.77,76.45,75.00999999999999,76.21,20528294
2024-11-20,79.18,80.32000000000001,77.33000000000001,80.27,29369886
2024-11-21,88.62,91.02000000000001,88.0,89.59,14810833
2024-11-22,78.59,80.99000000000001,77.3,77.93,33480675
2024-11-25,77.17,78.82000000000001,76.05,76.8,49972097
2024-11-26,82.34,84.10000000000001,80.37,80.44,27219277
2024-11-27,89.78,91.18,89.11,91.0,38500556
2024-11-28,78.63,79.72,77.53,77.79,42073692
2024-11-29,85.08,86.24,83.13,84.92,47316107
2024-12-02,86.42,88.27,84.62,85.62,37427110
2024-12-03,78.56,80.56,76.83,78.9,34192961
2024-12-04,85.92,88.0,85.03,86.96,34859871
2024-12-05,80.52,82.6,79.75999999999999,82.12,35654796
2024-12-06,84.48,85.16000000000001,82.98,83.43,42435245
2024-12-09,84.5,85.99,82.61,82.65,39263888
2024-12-10,83.04,83.66000000000001,81.7,81.97,37783527
2024-12-11,76.35,77.94999999999999,74.99,77.65,17281505
2024-12-12,87.53,88.91,86.61,88.62,48679227
2024-12-13,79.81,82.09,78.16,80.51,48965695
2024-12-16,77.8,79.0,77.02,78.21,47518167
2024-12-17,75.61,76.34,74.62,75.76,36540396
2024-12-18,83.86,84.65,82.72,83.06,24812143
2024-12-19,85.16,87.17999999999999,83.89999999999999,86.9,18989138
2024-12-20,75.25,76.99,74.39,75.48,22037574
2024-12-23,82.68,83.38000000000001,82.01,82.53,16555035
2024-12-24,78.4,79.07000000000001,76.98,78.06,42735803
2024-12-25,84.68,86.58000000000001,83.75,83.88,42737614
2024-12-26,77.62,78.27000000000001,76.25,76.59,25886372
2024-12-27,85.36,87.5,84.63,86.75,47622748
2024-12-30,80.8,82.71,79.58,79.84,42456981
2024-12-31,89.05,89.71,87.75,88.93,18067987
2025-01-01,77.06,77.73,76.48,76.79,11656671
2025-01-02,80.12,82.59,79.12,80.47,32458851
2025-01-03,76.7,77.95,76.0,76.56,32922481
2025-01-06,88.87,90.11,88.27000000000001,88.92,27560282
2025-01-07,88.16,90.28999999999999,86.17999999999999,89.14,31677072
2025-01-08,78.87,81.26,77.89,78.89,33017995
2025-01-09,84.9,87.37,83.19000000000001,85.56,30833173
2025-01-10,87.26,89.27000000000001,86.38000000000001,87.76,33394704
2025-01-13,83.33,84.58,81.81,83.65,27375113
2025-01-14,82.94,83.61,81.3,83.46,30718453
2025-01-15,78.63,80.67999999999999,77.24,79.76,19161408
2025-01-16,76.4,78.02000000000001,75.19000000000001,75.8,47214417
2025-01-17,88.46,89.80999999999999,87.33999999999999,87.42,34796429
2025-01-20,88.51,90.82000000000001,87.49000000000001,88.36,30353727
2025-01-21,84.5,85.22,82.61,84.16,27941166
2025-01-22,80.09,81.58,78.34,78.51,10549148
2025-01-23,80.24,80.75999999999999,78.28999999999999,79.52,46328139
2025-01-24,85.89,87.33,85.2,86.47,39844218
2025-01-27,88.46,89.07,86.86,87.6,31845218
2025-01-28,88.31,89.05,86.4,88.44,12773939
2025-01-29,86.7,87.44,85.93,86.09,45490172
2025-01-30,84.63,86.42999999999999,84.03,84.21,46989387
2025-01-31,76.26,78.25,74.65,77.27,48491142
2025-02-03,77.42,79.09,76.06,77.56,23426716
2025-02-04,88.48,90.9,86.72,89.6,37911050
2025-02-05,84.1,85.35,83.39,84.24,48710304
2025-02-06,75.14,76.21,73.45,74.13,28331726
2025-02-07,76.52,78.75999999999999,75.72,78.21,36996639
2025-02-10,84.95,85.9,84.2,85.56,30540338
2025-02-11,75.08,77.51,74.33,76.54,20774986
2025-02-12,77.41,77.92999999999999,75.69,76.3,14421590
2025-02-13,83.23,85.67,81.73,84.06,46089369
2025-02-14,85.38,85.97,84.1,84.78,21546081
2025-02-17,84.78,87.06,83.74,84.04,44366893
2025-02-18,78.36,79.92,76.54,79.64,39221379
2025-02-19,85.68,88.17,84.59,85.08,28495440
2025-02-20,78.56,79.21000000000001,76.84,79.09,46265058
2025-02-21,79.88,81.49,78.72,79.96,41670310
2025-02-24,86.2,88.64,85.13000000000001,85.78,36552476
2025-02-25,84.74,86.28999999999999,83.55,85.03,16440010
2025-02-26,87.74,89.5,86.78999999999999,89.16,18674163
2025-02-27,84.86,86.75,83.24,85.81,28279553
2025-02-28,83.52,84.92999999999999,82.27,84.42,40914222
2025-03-03,76.41,78.17,75.56,77.28,47041101
2025-03-04,80.52,82.19,78.67,81.11,37209162
2025-03-05,78.98,81.28,77.9,80.77,42790042
2025-03-06,78.66,79.25,77.34,77.82,47277378
2025-03-07,89.6,90.66,87.74,89.17,10224695
2025-03-10,80.9,83.30000000000001,79.46000000000001,80.31,36267668
2025-03-11,88.38,90.66,87.69999999999999,90.62,24063918
2025-03-12,84.47,85.88,82.56,85.69,39933317
2025-03-13,86.92,88.66,85.48,85.61,46894648
2025-03-14,82.54,83.59,81.54,82.99,30610500
2025-03-17,83.65,84.53,82.94000000000001,84.41,23245696
2025-03-18,82.39,83.82000000000001,80.7,81.26,45402297
2025-03-19,77.93,79.14,76.5,78.0,24921595
2025-03-20,85.84,87.51,84.54,87.26,34363941
2025-03-21,79.21,79.86999999999999,77.36999999999999,77.45,47571568
2025-03-24,75.36,77.81,73.67999999999999,76.56,49304715
2025-03-25,84.68,87.15,83.95,84.9,11074961
2025-03-26,77.66,79.56,76.69,79.34,31402894
2025-03-27,89.11,90.67999999999999,88.24,90.61,21950571
2025-03-28,89.31,90.43,87.69,90.28,29155151
2025-03-31,88.72,90.85,88.17,89.44,22866619
2025-04-01,80.55,82.42,79.2,81.98,12474968
2025-04-02,75.23,76.06,73.59,75.68,49720592
2025-04-03,88.92,91.24,87.10000000000001,88.42,32749774
2025-04-04,81.42,83.57000000000001,80.41,83.03,12442266
2025-04-07,89.5,91.9,87.77,87.92,14437677
2025-04-08,89.45,91.4,88.78,90.34,19607366
2025-04-09,87.8,89.53,86.03,86.84,15241218
2025-04-10,79.42,80.76,78.73,78.97,36821567
2025-04-11,80.78,83.15,79.68,79.95,15481140
2025-04-14,87.77,90.0,86.07,88.81,33991831
2025-04-15,79.75,80.34,79.03,79.48,41247234
2025-04-16,77.54,78.09,76.7,77.71,48535694
2025-04-17,83.35,84.6,81.77,81.95,15290717
2025-04-18,89.04,91.16000000000001,87.46000000000001,88.63,44072781
2025-04-21,85.44,87.91,83.98,86.1,29659206
2025-04-22,83.55,84.35,82.00999999999999,83.86,10797968
2025-04-23,76.46,78.14999999999999,75.14999999999999,76.11,46210403
2025-04-24,84.23,85.49000000000001,83.35000000000001,84.69,39163439
